ID,Binomial,Replicate,Excluded_LPR_2022,Citation,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,IPBES_region,IPBES_subregion,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Migratory_fw_fish,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,Antidorcas_marsupialis,0,0," IUCN/SSC Antelope Specialist Group, Ed. (1989). Antelopes: Global Survey and Regional Action Plans: Part 2.Southern and South-central Africa. Antelopes: Global Survey and Regional Action Plans,, IUCN.",Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,NULL,"(Zimmermann, 1780)",Springbok,Orange Free State,South Africa,South Africa,Africa,Africa,Southern Africa,-29,26,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,Connochaetes_gnou,0,0, WWF South Africa (2006). Black Wildebeest. L. v. J. Loh.,Mammalia,Artiodactyla,Bovidae,Connochaetes,gnou,,"(Zimmermann, 1780)",Black wildebeest / White-tailed gnu,South Africa (ENDEMIC),South Africa,South Africa,Africa,Africa,Southern Africa,-30,26,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2200,NULL,NULL,NULL,NULL,NULL,5900,NULL,NULL,NULL,NULL,6200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9500,NULL,NULL,NULL,NULL,NULL,18000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,Damaliscus_pygargus,1,0," East, R. (1998). African Antelope database. Occasional paper of the IUCN Species Survival Commision No. 21. I. S. A. S. Group. Gland, Switzerland and Cambridge, UK., IUCN.",Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,pygargus,"Harper, 1939",Bontebok / Blesbok,Bontebok National Park,South Africa,South Africa,Africa,Africa,Southern Africa,-34.05,20.45,1,Terrestrial,Afrotropical,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL,0,Individuals,Unknown - Estimate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,Damaliscus_pygargus,1,0," IUCN/SSC Antelope Specialist Group, Ed. (1989). Antelopes: Global Survey and Regional Action Plans: Part 2.Southern and South-central Africa. Antelopes: Global Survey and Regional Action Plans,, IUCN.",Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,phillipsi,"Harper, 1939",Bontebok / Blesbok,Orange Free State,South Africa,South Africa,Africa,Africa,Southern Africa,-29,26,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,Damaliscus_pygargus,0,0, WWF South Africa (2006). Bontebok. L. v. J. Loh.,Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,pygargus,"Harper, 1939",Bontebok / Blesbok,South Africa,South Africa,South Africa,Africa,Africa,Southern Africa,-30,26,0,Terrestrial,Afrotropical,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL,0,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1900,NULL,2500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,Equus_zebra,1,0," IUCN/SSC Equid Specialist Group (2002). Equids: Zebras, Asses and Horses. Status survey and conservation action plan. P. D. e. Moehlman. Gland, Switzerland and Cambridge, UK, IUCN: 190pp.",Mammalia,Perissodactyla,Equidae,Equus,zebra,zebra,"Matschie, 1898",Cape mountain zebra,"South Africa, Total metapopulation",South Africa,South Africa,Africa,Africa,Southern Africa,-30,26,0,Terrestrial,Afrotropical,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Count,80,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,420,400,NULL,NULL,NULL,NULL,560,NULL,NULL,700,NULL,910,NULL,NULL,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,Hippotragus_equinus,1,0," Nicholls, A. O., P. C. Viljoen, et al. (1996). ""Evaluating population persistence of censused and unmanaged herbivore populations from the Kruger National Park, South Africa."" Biological Conservation 76(1): 57-67.",Mammalia,Artiodactyla,Bovidae,Hippotragus,equinus,NULL,"?Ù. Geoffroy Saint-Hilaire, 1803",Roan antelope,"Kruger National Park, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Population number,Aerial census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,350,350,370,450,250,140,200,140,135,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,Hippotragus_niger,1,0," East, R. (1998). African Antelope database. Occasional paper of the IUCN Species Survival Commision No. 21. I. S. A. S. Group. Gland, Switzerland and Cambridge, UK., IUCN.",Mammalia,Artiodactyla,Bovidae,Hippotragus,niger,NULL,"Harris, 1838",Sable antelope,"Kruger National Park, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,910,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,Loxodonta_africana,0,0,"Whyte, I. (2004). Ecosystem resources influencing elephant populations:History of the KNP elephant population. Elephant effects on biodiversity: An assessment of curretn knowledge and understanding as a basis for elephant management in SANparks.",Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,NULL,"(Blumenbach, 1797)",African elephant,Kruger National Park,South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Individuals,Helicopter count,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6000,6400,7600,8200,8700,7800,7500,7800,7600,7400,7000,7500,7300,7250,7200,8000,8500,8300,6800,7400,6900,7200,7300,7200,7250,7400,7600,7900,8100,8300,8300,9000,9300,8500,9400,10500,11500,11454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,Loxodonta_africana,1,0," Whyte, I. (2004). Ecosystem resources influencing elephant populations:History of the KNP elephant population. Elephant effects on biodiversity: An assessment of curretn knowledge and understanding as a basis for elephant management in SANparks.",Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,NULL,"(Blumenbach, 1797)",African elephant,"Kruger National Park, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8350,NULL,NULL,NULL,NULL,7456,NULL,NULL,NULL,NULL,7399,NULL,NULL,NULL,NULL,7592,NULL,NULL,NULL,NULL,7405,NULL,NULL,NULL,NULL,8063,NULL,NULL,NULL,NULL,9248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,Lycaon_pictus,0,0," Mills, G. and WWF South Africa (2000). African wild dog. LM via J Loh.",Mammalia,Carnivora,Canidae,Lycaon,pictus,NULL,"(Temminck, 1820)",African wild dog,"Kruger National Park, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250,NULL,NULL,NULL,NULL,220,NULL,NULL,NULL,NULL,350,NULL,NULL,NULL,NULL,400,NULL,NULL,NULL,NULL,350,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,NULL,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,Redunca_fulvorufula,0,0," IUCN/SSC Antelope Specialist Group, Ed. (1989). Antelopes: Global Survey and Regional Action Plans: Part 2.Southern and South-central Africa. Antelopes: Global Survey and Regional Action Plans,, IUCN.",Mammalia,Artiodactyla,Bovidae,Redunca,fulvorufula,NULL,"Afzelius, 1815",Mountain reedbuck / Western mountain reedbuck,"Orange Free State, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-29,26,0,Terrestrial,Afrotropical,Montane grasslands and shrublands,NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Game survey - estimate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,Syncerus_caffer,1,0," East, R. (1998). African Antelope database. Occasional paper of the IUCN Species Survival Commision No. 21. I. S. A. S. Group. Gland, Switzerland and Cambridge, UK., IUCN.",Mammalia,Artiodactyla,Bovidae,Syncerus,caffer,NULL,"Sparrman, 1779",African buffalo / Cape buffalo,"Kruger National Park, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Number of individuals,Estimate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27500,NULL,NULL,NULL,NULL,NULL,15000,NULL,NULL,NULL,NULL,NULL,19500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,Tragelaphus_strepsiceros,1,0," Owen-Smith, N. (1990). ""Demography of a Large Herbivore, the Greater Kudu Tragelaphus-Strepsiceros, in Relation to Rainfall."" Journal of Animal Ecology 59(3): 893-913.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.",Mammalia,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,NULL,"Pallas, 1766",Greater kudu,"Pretorius Kop, Kruger National Park, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Density of individuals per square km,Total count - observations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.2,3.6,3.8,3.85,4.05,3.95,3.5,3.25,2.7,2.1,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,Tragelaphus_strepsiceros,1,0," Owen-Smith, N. (1990). ""Demography of a Large Herbivore, the Greater Kudu Tragelaphus-Strepsiceros, in Relation to Rainfall."" Journal of Animal Ecology 59(3): 893-913.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/, Imperial College,.",Mammalia,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,NULL,"Pallas, 1766",Greater kudu,"Tshokwane, Kruger National Park, South Africa",South Africa,South Africa,Africa,Africa,Southern Africa,-23.83333,31.5,1,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL,0,Number of individuals per square km,Total count - observations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.8,2.55,2.5,2.7,3.1,2.65,2.6,2.25,2,1.6,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
